compound_id,status,pdbqt_size,note
DEC_1858,filtered,0,thioester
DEC_2673,skipped,0,
DEC_1913,skipped,0,
DEC_3873,skipped,0,
DEC_0612,skipped,0,
DEC_1481,skipped,0,
DEC_2065,skipped,0,
DEC_4337,skipped,0,
DEC_0201,skipped,0,
DEC_0787,skipped,0,
DEC_2317,filtered,0,Aliphatic_long_chain
DEC_3607,skipped,0,
DEC_0670,skipped,0,
DEC_4565,skipped,0,
DEC_0596,skipped,0,
DEC_0151,skipped,0,
DEC_0998,skipped,0,
DEC_2735,skipped,0,
ACT_016,skipped,0,
DEC_4050,skipped,0,
DEC_0928,skipped,0,
DEC_1438,skipped,0,
DEC_2659,skipped,0,
DEC_4356,skipped,0,
DEC_4443,skipped,0,
DEC_4044,skipped,0,
DEC_3083,skipped,0,
DEC_4506,skipped,0,
DEC_3004,filtered,0,nitro_group
DEC_3161,skipped,0,
DEC_4745,skipped,0,
DEC_4431,skipped,0,
DEC_2943,filtered,0,triple_bond
DEC_4102,skipped,0,
DEC_4091,skipped,0,
DEC_4440,skipped,0,
DEC_1148,skipped,0,
DEC_4750,skipped,0,
DEC_0419,skipped,0,
DEC_2906,skipped,0,
DEC_1870,skipped,0,
DEC_0063,skipped,0,
DEC_2433,filtered,0,imine_1
DEC_0761,skipped,0,
DEC_1932,filtered,0,heavy_metal
DEC_3492,skipped,0,
DEC_0834,skipped,0,
DEC_2404,filtered,0,aniline
DEC_3084,skipped,0,
DEC_1576,skipped,0,
DEC_1543,skipped,0,
DEC_1537,skipped,0,
DEC_4202,skipped,0,
DEC_0459,skipped,0,
DEC_4360,skipped,0,
DEC_0354,skipped,0,
DEC_4362,skipped,0,
DEC_2734,skipped,0,
DEC_2691,skipped,0,
DEC_0942,skipped,0,
DEC_0404,skipped,0,
DEC_1296,skipped,0,
DEC_1549,skipped,0,
DEC_1908,filtered,0,Three-membered_heterocycle
DEC_4665,skipped,0,
DEC_0630,skipped,0,
DEC_2723,skipped,0,
DEC_1654,filtered,0,alkyl_halide
DEC_0616,skipped,0,
DEC_0593,skipped,0,
DEC_4322,skipped,0,
DEC_0605,skipped,0,
DEC_0816,skipped,0,
ACT_040,skipped,0,
DEC_3963,skipped,0,
DEC_3742,skipped,0,
DEC_0313,skipped,0,
DEC_0494,skipped,0,
DEC_2913,skipped,0,
DEC_1726,filtered,0,acyclic_C=C-O
DEC_0977,skipped,0,
DEC_2043,filtered,0,amino_acridine_A(46)
DEC_3559,skipped,0,
DEC_1464,skipped,0,
DEC_1006,skipped,0,
DEC_0540,skipped,0,
DEC_3326,skipped,0,
DEC_2280,skipped,0,
DEC_0700,skipped,0,
DEC_3286,filtered,0,peroxide
DEC_0009,skipped,0,
DEC_3120,skipped,0,
DEC_4759,skipped,0,
DEC_3232,filtered,0,iodine
DEC_1005,skipped,0,
DEC_2173,skipped,0,
DEC_2862,skipped,0,
DEC_1599,skipped,0,
DEC_1063,skipped,0,
DEC_2437,skipped,0,
DEC_0370,skipped,0,
DEC_0940,skipped,0,
DEC_3817,skipped,0,
DEC_2989,filtered,0,mannich_A(296)
DEC_4567,skipped,0,
DEC_3350,skipped,0,
DEC_1645,skipped,0,
DEC_2152,skipped,0,
DEC_2706,skipped,0,
DEC_1955,filtered,0,quinone_A(370)
DEC_1628,filtered,0,catechol_A(92)
DEC_0165,skipped,0,
DEC_3448,skipped,0,
DEC_3052,skipped,0,
DEC_0346,skipped,0,
DEC_4115,skipped,0,
DEC_3250,filtered,0,nitro_group
DEC_0896,skipped,0,
DEC_2812,skipped,0,
DEC_0098,skipped,0,
DEC_3678,skipped,0,
DEC_4259,skipped,0,
DEC_2918,skipped,0,
DEC_1951,filtered,0,nitro_group
DEC_3228,filtered,0,het_6666_A(2)
DEC_3859,skipped,0,
DEC_3875,skipped,0,
DEC_2869,skipped,0,
DEC_2686,skipped,0,
DEC_1871,skipped,0,
DEC_2617,skipped,0,
DEC_4129,skipped,0,
ACT_081,skipped,0,
DEC_3767,skipped,0,
DEC_1347,skipped,0,
DEC_1623,filtered,0,iodine
DEC_0737,skipped,0,
DEC_4347,skipped,0,
DEC_1388,skipped,0,
DEC_3951,skipped,0,
DEC_2507,skipped,0,
DEC_2858,skipped,0,
DEC_3534,skipped,0,
DEC_2896,skipped,0,
DEC_0133,skipped,0,
DEC_0978,skipped,0,
DEC_2730,skipped,0,
DEC_2344,filtered,0,phenol_ester
DEC_1082,skipped,0,
DEC_3209,filtered,0,cumarine
DEC_0576,skipped,0,
DEC_2319,skipped,0,
DEC_3518,skipped,0,
DEC_3597,skipped,0,
DEC_2100,filtered,0,phosphor
DEC_4240,skipped,0,
DEC_4227,skipped,0,
DEC_3180,filtered,0,aldehyde
DEC_2370,filtered,0,isolated_alkene
DEC_4352,skipped,0,
DEC_4658,skipped,0,
DEC_2920,skipped,0,
DEC_3379,filtered,0,diketo_group
DEC_2041,filtered,0,Aliphatic_long_chain
DEC_4072,skipped,0,
DEC_0280,skipped,0,
DEC_0090,skipped,0,
DEC_2535,skipped,0,
DEC_1911,skipped,0,
DEC_0558,skipped,0,
DEC_2119,filtered,0,Aliphatic_long_chain
DEC_2897,skipped,0,
DEC_2546,skipped,0,
DEC_2649,skipped,0,
DEC_0308,skipped,0,
DEC_3868,skipped,0,
DEC_1240,skipped,0,
DEC_1714,skipped,0,
DEC_2793,skipped,0,
DEC_1731,filtered,0,aldehyde
DEC_1540,skipped,0,
DEC_0624,skipped,0,
DEC_3076,filtered,0,Aliphatic_long_chain
DEC_0958,skipped,0,
DEC_2530,skipped,0,
DEC_2275,filtered,0,alkyl_halide
DEC_3704,skipped,0,
DEC_1538,skipped,0,
DEC_0541,skipped,0,
DEC_2988,skipped,0,
DEC_0992,skipped,0,
DEC_3807,skipped,0,
DEC_3834,skipped,0,
DEC_4335,skipped,0,
DEC_3051,skipped,0,
DEC_4582,skipped,0,
DEC_2128,filtered,0,nitro_group
DEC_2538,skipped,0,
DEC_4651,skipped,0,
DEC_0486,skipped,0,
DEC_0303,skipped,0,
DEC_4725,skipped,0,
ACT_099,skipped,0,
DEC_0675,skipped,0,
DEC_2400,filtered,0,Aliphatic_long_chain
DEC_0189,skipped,0,
DEC_0577,skipped,0,
DEC_3869,skipped,0,
DEC_0454,skipped,0,
DEC_3934,skipped,0,
DEC_0320,skipped,0,
DEC_2971,filtered,0,thiol_2
DEC_4556,skipped,0,
DEC_2483,skipped,0,
DEC_2931,skipped,0,
DEC_3373,skipped,0,
DEC_3605,skipped,0,
DEC_3634,skipped,0,
DEC_0522,skipped,0,
DEC_3182,skipped,0,
DEC_1348,skipped,0,
DEC_3358,filtered,0,Aliphatic_long_chain
DEC_3627,skipped,0,
DEC_0395,failed,0,"meeko: RDKit molecule has 2 fragments. Must have 1.
"
DEC_0710,skipped,0,
DEC_3826,skipped,0,
DEC_0247,skipped,0,
DEC_1961,filtered,0,Aliphatic_long_chain
DEC_3610,skipped,0,
DEC_0912,skipped,0,
DEC_3344,skipped,0,
DEC_3075,skipped,0,
DEC_1608,skipped,0,
DEC_4606,skipped,0,
DEC_0633,skipped,0,
DEC_1045,skipped,0,
DEC_2143,filtered,0,Aliphatic_long_chain
DEC_1133,skipped,0,
DEC_0770,skipped,0,
DEC_0699,skipped,0,
DEC_4669,skipped,0,
DEC_2365,skipped,0,
DEC_4196,skipped,0,
DEC_4194,skipped,0,
DEC_2912,skipped,0,
DEC_2942,skipped,0,
DEC_0567,skipped,0,
DEC_2427,filtered,0,amino_acridine_A(46)
DEC_2915,skipped,0,
DEC_0727,skipped,0,
DEC_0285,skipped,0,
