compound_id,matched_to,chembl_id,smiles,MW,LogP,HBD,HBA,RotBonds,TPSA,NumHeavyAtoms,NetCharge,max_tc_to_actives
DEC_3007,ACT_064,CHEMBL289274,COC(=O)/C=C\C(=O)N(C)[C@H]1CCC2(O)C3Cc4ccc(O)c5c4C2(CCCN3CC2CC2)[C@H]1O5,482.57700000000034,1.9025999999999994,2,7,5,99.54,35,0,0.17117117117117117
DEC_3008,ACT_064,CHEMBL43084,COC(=O)/C=C\C(=O)N(C)[C@@H]1CCC2(O)C3Cc4ccc(O)c5c4C2(CCCN3CC2CC2)[C@H]1O5,482.57700000000034,1.9025999999999994,2,7,5,99.54,35,0,0.17117117117117117
DEC_3009,ACT_064,CHEMBL54820,CCCOC(=O)/C=C/C(=O)N[C@@H]1CC[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,482.57700000000034,1.9504999999999992,3,7,7,108.33000000000001,35,0,0.17117117117117117
DEC_3010,ACT_064,CHEMBL18295,O=C(O)C(=O)CC(=O)c1ccc(-c2ccc(SCC3(O)COc4ccccc4OC3)cc2)cc1,478.5220000000003,3.8747000000000034,2,7,8,110.13000000000001,34,0,0.17567567567567569
DEC_3011,ACT_064,CHEMBL8097,CCCCCCC[C@H]1OC(=O)C[C@@H](O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](C)OC(=O)[C@H]1C,461.5990000000002,3.6608000000000027,1,6,8,93.14000000000001,33,0,0.17894736842105263
DEC_3012,ACT_064,CHEMBL28284,O=C(N[C@@H]1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5)C(=O)c1ccccc1,474.5570000000003,2.323999999999999,3,6,5,99.1,35,0,0.1797752808988764
DEC_3013,ACT_064,CHEMBL268206,CN(C(=O)[C@H](CC#Cc1ccncc1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,461.58700000000033,3.7245000000000026,1,4,6,79.37,33,0,0.1827956989247312
DEC_3014,ACT_064,CHEMBL6715,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)C)c(F)c1,478.52400000000017,3.570140000000001,3,6,8,115.64999999999999,35,0,0.1827956989247312
DEC_3015,ACT_064,CHEMBL269020,CN(C(=O)[C@H](CC#Cc1cnc(N)s1)NS(=O)(=O)c1ccc2ccccc2c1)C1CCCC1,482.63100000000037,3.3682000000000016,2,6,6,105.38999999999999,33,0,0.1836734693877551
DEC_3016,ACT_064,CHEMBL23513,CCN1C(=O)c2c(nc(OC)n2Cc2ccc(O)c(C#N)c2)N2C[C@@H](Cc3ccccc3)N=C12,456.5060000000002,2.780280000000001,1,7,6,106.97999999999999,34,0,0.18446601941747573
DEC_3017,ACT_064,CHEMBL21781,CN1CCN(CCCNc2cc(-c3ccc(CN4CCN(C)CC4)cc3)nc3ccccc23)CC1,472.6810000000003,3.6986000000000017,1,6,8,37.88,35,0,0.18518518518518517
DEC_3018,ACT_064,CHEMBL301021,C[C@@H](n1cnc2cc(N3CCOCC3)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,482.4910000000001,2.2517999999999994,1,7,6,98.30000000000001,35,0,0.18584070796460178
DEC_3019,ACT_064,CHEMBL18509,COc1ccc(N(/C=N/c2ccn(C3CSC(CO)O3)c(=O)n2)c2ccc(OC)cc2)cc1,468.53500000000025,3.339000000000002,1,8,8,98.41,33,0,0.18681318681318682
DEC_3020,ACT_064,CHEMBL40364,CC1(C)C2CC1[C@]1(C)OB([C@H](CCCN=C(N)N)NC(=O)c3ccc(-c4ccccc4)o3)O[C@@H]1C2,478.40200000000016,3.366100000000002,3,5,8,125.1,35,0,0.18691588785046728
DEC_3021,ACT_064,CHEMBL281743,COc1ccc2c3nc[nH]c(N4CCN(CCc5ccc(F)c(F)c5)CC4)c-3nc2c1[N+](=O)[O-],468.46400000000017,3.6224000000000025,1,7,6,100.42,34,0,0.1875
DEC_3022,ACT_064,CHEMBL29019,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2cccc[n+]2[O-])c1=O)NCc1ncccc1Cl,485.27800000000013,2.0987999999999993,2,6,8,115.85000000000001,32,0,0.18888888888888888
